Date,Description,Amount,Principal,Fee,Other
10/08/2019,Auto Draft Payment,"-$3,833.21","-$3,796.87","-$36.34","$0.00"
10/01/2019,Auto Draft Payment,"-$3,833.23","-$3,760.86","-$72.37","$0.00"
09/24/2019,Auto Draft Payment,"-$3,833.23","-$3,725.18","-$108.05","$0.00"
09/17/2019,Auto Draft Payment,"-$3,833.23","-$3,689.85","-$143.38","$0.00"
09/10/2019,Auto Draft Payment,"-$3,833.23","-$3,654.84","-$178.39","$0.00"
09/03/2019,Auto Draft Payment,"-$3,833.23","-$3,620.18","-$213.05","$0.00"
08/27/2019,Auto Draft Payment,"-$3,833.23","-$3,585.84","-$247.39","$0.00"
08/20/2019,Auto Draft Payment,"-$3,833.23","-$3,551.83","-$281.40","$0.00"
08/13/2019,Auto Draft Payment,"-$3,833.23","-$3,518.14","-$315.09","$0.00"
08/06/2019,Auto Draft Payment,"-$3,833.23","-$3,484.77","-$348.46","$0.00"
07/30/2019,Auto Draft Payment,"-$3,833.23","-$3,451.71","-$381.52","$0.00"
07/23/2019,Auto Draft Payment,"-$3,833.23","-$3,418.97","-$414.26","$0.00"
07/16/2019,Auto Draft Payment,"-$3,833.23","-$3,386.54","-$446.69","$0.00"
07/09/2019,Auto Draft Payment,"-$3,833.23","-$3,354.42","-$478.81","$0.00"
06/26/2019,Payoff,"$18,582.13","$18,582.13","$0.00","$0.00"
06/26/2019,PayPal,"$31,417.87","$31,417.87","$0.00","$0.00"
06/26/2019,Total Loan Fee,"$3,665.20","$0.00","$3,665.20","$0.00"
