Date,Description,Amount,Principal,Fee,Other
06/26/2019,CheckWire Finance Co,"-$18,582.13","-$18,582.13","$0.00","$0.00"
06/26/2019,Total Loan Fee Waiver,"-$809.01","$0.00","-$809.01","$0.00"
06/21/2019,Auto Draft Payment,"-$2,154.58","-$1,977.56","-$177.02","$0.00"
06/14/2019,Auto Draft Payment,"-$2,154.58","-$1,960.69","-$193.89","$0.00"
06/07/2019,Auto Draft Payment,"-$2,154.58","-$1,943.94","-$210.64","$0.00"
05/31/2019,Auto Draft Payment,"-$2,154.58","-$1,927.35","-$227.23","$0.00"
05/24/2019,Auto Draft Payment,"-$2,154.58","-$1,910.90","-$243.68","$0.00"
05/17/2019,Auto Draft Payment,"-$2,154.58","-$1,894.59","-$259.99","$0.00"
05/10/2019,Auto Draft Payment,"-$2,154.58","-$1,878.41","-$276.17","$0.00"
05/03/2019,Auto Draft Payment,"-$2,154.58","-$1,862.38","-$292.20","$0.00"
04/26/2019,Auto Draft Payment,"-$2,154.58","-$1,846.48","-$308.10","$0.00"
04/19/2019,Auto Draft Payment,"-$2,154.58","-$1,830.72","-$323.86","$0.00"
04/12/2019,Auto Draft Payment,"-$2,154.58","-$1,815.09","-$339.49","$0.00"
04/05/2019,Auto Draft Payment,"-$2,154.58","-$1,799.60","-$354.98","$0.00"
03/29/2019,Auto Draft Payment,"-$2,154.58","-$1,784.23","-$370.35","$0.00"
03/22/2019,Auto Draft Payment,"-$2,154.58","-$1,769.01","-$385.57","$0.00"
03/15/2019,Auto Draft Payment,"-$2,154.58","-$1,753.90","-$400.68","$0.00"
03/08/2019,Auto Draft Payment,"-$2,154.58","-$1,738.93","-$415.65","$0.00"
03/01/2019,Auto Draft Payment,"-$2,154.58","-$1,724.09","-$430.49","$0.00"
02/22/2019,Total Loan Fee,"$6,019.00","$0.00","$6,019.00","$0.00"
02/22/2019,PayPal,"$50,000.00","$50,000.00","$0.00","$0.00"
