Date,Description,Amount,Principal,Fee,Other
01/10/2025,CheckWire Finance Co,"-$20,673.22","-$20,673.22","$0.00","$0.00"
01/10/2025,Total Loan Fee Waiver,"-$406.82","$0.00","-$406.82","$0.00"
01/09/2025,Auto Draft Payment,"-$3,513.33","-$3,378.74","-$134.59","$0.00"
01/02/2025,Auto Draft Payment,"-$3,513.33","-$3,359.94","-$153.39","$0.00"
12/26/2024,Auto Draft Payment,"-$3,513.33","-$3,341.25","-$172.08","$0.00"
12/19/2024,Auto Draft Payment,"-$3,513.33","-$3,322.65","-$190.68","$0.00"
12/12/2024,Auto Draft Payment,"-$3,513.33","-$3,304.17","-$209.16","$0.00"
12/05/2024,Auto Draft Payment,"-$3,513.33","-$3,285.78","-$227.55","$0.00"
11/28/2024,Auto Draft Payment,"-$3,513.33","-$3,267.49","-$245.84","$0.00"
11/21/2024,Auto Draft Payment,"-$3,513.33","-$3,249.31","-$264.02","$0.00"
11/14/2024,Auto Draft Payment,"-$3,513.33","-$3,231.24","-$282.09","$0.00"
11/07/2024,Auto Draft Payment,"-$3,513.33","-$3,213.25","-$300.08","$0.00"
10/31/2024,Auto Draft Payment,"-$3,513.33","-$3,195.37","-$317.96","$0.00"
10/24/2024,Auto Draft Payment,"-$3,513.33","-$3,177.59","-$335.74","$0.00"
10/11/2024,Payoff,"$4,089.12","$4,089.12","$0.00","$0.00"
10/11/2024,Wire,"$55,910.88","$55,910.88","$0.00","$0.00"
10/11/2024,Total Loan Fee,"$3,240.00","$0.00","$3,240.00","$0.00"
