Date,Description,Amount,Principal,Fee,Other
01/13/2021,Auto Draft Payment,"-$2,055.71","-$2,050.56","-$5.15","$0.00"
01/06/2021,Auto Draft Payment,"-$2,055.79","-$2,045.35","-$10.44","$0.00"
12/30/2020,Auto Draft Payment,"-$2,055.79","-$2,040.15","-$15.64","$0.00"
12/23/2020,Auto Draft Payment,"-$2,055.79","-$2,034.96","-$20.83","$0.00"
12/16/2020,Auto Draft Payment,"-$2,055.79","-$2,029.79","-$26.00","$0.00"
12/09/2020,Auto Draft Payment,"-$2,055.79","-$2,024.63","-$31.16","$0.00"
12/02/2020,Auto Draft Payment,"-$2,055.79","-$2,019.48","-$36.31","$0.00"
11/25/2020,Auto Draft Payment,"-$2,055.79","-$2,014.34","-$41.45","$0.00"
11/18/2020,Auto Draft Payment,"-$2,055.79","-$2,009.22","-$46.57","$0.00"
11/11/2020,Auto Draft Payment,"-$2,055.79","-$2,004.12","-$51.67","$0.00"
11/04/2020,Auto Draft Payment,"-$2,055.79","-$1,999.02","-$56.77","$0.00"
10/28/2020,Auto Draft Payment,"-$2,055.79","-$1,993.93","-$61.86","$0.00"
10/21/2020,Auto Draft Payment,"-$2,055.79","-$1,988.87","-$66.92","$0.00"
10/14/2020,Auto Draft Payment,"-$2,055.79","-$1,983.81","-$71.98","$0.00"
10/07/2020,Auto Draft Payment,"-$2,055.79","-$1,978.77","-$77.02","$0.00"
09/30/2020,Auto Draft Payment,"-$2,055.79","-$1,973.73","-$82.06","$0.00"
09/23/2020,Auto Draft Payment,"-$2,055.79","-$1,968.72","-$87.07","$0.00"
09/16/2020,Auto Draft Payment,"-$2,055.79","-$1,963.71","-$92.08","$0.00"
09/09/2020,Auto Draft Payment,"-$2,055.79","-$1,958.72","-$97.07","$0.00"
09/02/2020,Auto Draft Payment,"-$2,055.79","-$1,953.73","-$102.06","$0.00"
08/26/2020,Auto Draft Payment,"-$2,055.79","-$1,948.77","-$107.02","$0.00"
08/19/2020,Auto Draft Payment,"-$2,055.79","-$1,943.82","-$111.97","$0.00"
08/12/2020,Auto Draft Payment,"-$2,055.79","-$1,938.87","-$116.92","$0.00"
08/05/2020,Auto Draft Payment,"-$2,055.79","-$1,933.94","-$121.85","$0.00"
07/29/2020,Auto Draft Payment,"-$2,055.79","-$1,929.03","-$126.76","$0.00"
07/22/2020,Auto Draft Payment,"-$2,055.79","-$1,924.12","-$131.67","$0.00"
07/15/2020,Auto Draft Payment,"-$2,055.79","-$1,919.23","-$136.56","$0.00"
07/08/2020,Auto Draft Payment,"-$2,055.79","-$1,914.35","-$141.44","$0.00"
07/01/2020,Auto Draft Payment,"-$2,055.79","-$1,909.48","-$146.31","$0.00"
06/24/2020,Auto Draft Payment,"-$2,055.79","-$1,904.63","-$151.16","$0.00"
06/17/2020,Auto Draft Payment,"-$2,055.79","-$1,899.79","-$156.00","$0.00"
06/10/2020,Auto Draft Payment,"-$2,055.79","-$1,894.95","-$160.84","$0.00"
03/18/2020,Auto Draft Payment,"-$2,055.79","-$1,890.14","-$165.65","$0.00"
03/11/2020,Auto Draft Payment,"-$2,055.79","-$1,885.33","-$170.46","$0.00"
03/04/2020,Auto Draft Payment,"-$2,055.79","-$1,880.53","-$175.26","$0.00"
02/26/2020,Auto Draft Payment,"-$2,055.79","-$1,875.76","-$180.03","$0.00"
02/19/2020,Auto Draft Payment,"-$2,055.79","-$1,870.99","-$184.80","$0.00"
02/12/2020,Auto Draft Payment,"-$2,055.79","-$1,866.23","-$189.56","$0.00"
02/05/2020,Auto Draft Payment,"-$2,055.79","-$1,861.48","-$194.31","$0.00"
01/29/2020,Auto Draft Payment,"-$2,055.79","-$1,856.75","-$199.04","$0.00"
01/22/2020,Auto Draft Payment,"-$2,055.79","-$1,852.03","-$203.76","$0.00"
01/15/2020,Auto Draft Payment,"-$2,055.79","-$1,847.32","-$208.47","$0.00"
01/08/2020,Auto Draft Payment,"-$2,055.79","-$1,842.63","-$213.16","$0.00"
01/01/2020,Auto Draft Payment,"-$2,055.79","-$1,837.94","-$217.85","$0.00"
12/25/2019,Auto Draft Payment,"-$2,055.79","-$1,833.26","-$222.53","$0.00"
12/18/2019,Auto Draft Payment,"-$2,055.79","-$1,828.61","-$227.18","$0.00"
12/11/2019,Auto Draft Payment,"-$2,055.79","-$1,823.96","-$231.83","$0.00"
12/04/2019,Auto Draft Payment,"-$2,055.79","-$1,819.32","-$236.47","$0.00"
11/27/2019,Auto Draft Payment,"-$2,055.79","-$1,814.69","-$241.10","$0.00"
11/20/2019,Auto Draft Payment,"-$2,055.79","-$1,810.08","-$245.71","$0.00"
11/13/2019,Auto Draft Payment,"-$2,055.79","-$1,805.47","-$250.32","$0.00"
11/06/2019,Auto Draft Payment,"-$2,055.79","-$1,800.89","-$254.90","$0.00"
10/28/2019,PayPal,"$100,000.00","$100,000.00","$0.00","$0.00"
10/28/2019,Total Loan Fee,"$6,901.00","$0.00","$6,901.00","$0.00"
