Date,Description,Amount,Principal,Fee,Other
08/11/2023,CheckWire Finance Co,"-$12,074.38","-$12,074.38","$0.00","$0.00"
08/11/2023,Total Loan Fee Waiver,"-$671.68","$0.00","-$671.68","$0.00"
08/10/2023,Auto Draft Payment,"-$637.31","-$571.38","-$65.93","$0.00"
08/03/2023,Auto Draft Payment,"-$637.31","-$568.42","-$68.89","$0.00"
07/27/2023,Auto Draft Payment,"-$637.31","-$565.48","-$71.83","$0.00"
07/20/2023,Auto Draft Payment,"-$637.31","-$562.54","-$74.77","$0.00"
07/13/2023,Auto Draft Payment,"-$637.31","-$559.62","-$77.69","$0.00"
07/06/2023,Auto Draft Payment,"-$637.31","-$556.72","-$80.59","$0.00"
06/29/2023,Auto Draft Payment,"-$637.31","-$553.83","-$83.48","$0.00"
06/22/2023,Auto Draft Payment,"-$637.31","-$550.96","-$86.35","$0.00"
06/15/2023,Auto Draft Payment,"-$637.31","-$548.11","-$89.20","$0.00"
06/08/2023,Auto Draft Payment,"-$637.31","-$545.26","-$92.05","$0.00"
06/01/2023,Auto Draft Payment,"-$637.31","-$542.43","-$94.88","$0.00"
05/25/2023,Auto Draft Payment,"-$637.31","-$539.62","-$97.69","$0.00"
05/18/2023,Auto Draft Payment,"-$637.31","-$536.82","-$100.49","$0.00"
05/11/2023,Auto Draft Payment,"-$637.31","-$534.04","-$103.27","$0.00"
05/04/2023,Auto Draft Payment,"-$637.31","-$531.27","-$106.04","$0.00"
04/27/2023,Auto Draft Payment,"-$637.31","-$528.51","-$108.80","$0.00"
04/20/2023,Auto Draft Payment,"-$637.31","-$525.77","-$111.54","$0.00"
04/13/2023,Auto Draft Payment,"-$637.31","-$523.05","-$114.26","$0.00"
04/06/2023,Auto Draft Payment,"-$637.31","-$520.33","-$116.98","$0.00"
03/30/2023,Auto Draft Payment,"-$637.31","-$517.63","-$119.68","$0.00"
03/23/2023,Auto Draft Payment,"-$637.31","-$514.95","-$122.36","$0.00"
03/09/2023,Auto Draft Payment,"-$637.31","-$512.28","-$125.03","$0.00"
03/02/2023,Auto Draft Payment,"-$637.31","-$509.62","-$127.69","$0.00"
02/23/2023,Auto Draft Payment,"-$637.31","-$506.98","-$130.33","$0.00"
02/16/2023,Wire,"$25,000.00","$25,000.00","$0.00","$0.00"
02/16/2023,Total Loan Fee,"$3,041.50","$0.00","$3,041.50","$0.00"
