Date,Description,Amount,Principal,Fee,Other
06/15/2023,Auto Draft Payment,"-$5,053.20","-$5,029.97","-$23.23","$0.00"
06/08/2023,Auto Draft Payment,"-$5,053.20","-$5,006.85","-$46.35","$0.00"
06/01/2023,Auto Draft Payment,"-$5,053.20","-$4,983.83","-$69.37","$0.00"
05/25/2023,Auto Draft Payment,"-$5,053.20","-$4,960.91","-$92.29","$0.00"
05/18/2023,Auto Draft Payment,"-$5,053.20","-$4,938.12","-$115.08","$0.00"
05/11/2023,Auto Draft Payment,"-$5,053.20","-$4,915.41","-$137.79","$0.00"
05/04/2023,Auto Draft Payment,"-$5,053.20","-$4,892.81","-$160.39","$0.00"
04/27/2023,Auto Draft Payment,"-$5,053.20","-$4,870.33","-$182.87","$0.00"
04/20/2023,Auto Draft Payment,"-$5,053.20","-$4,847.93","-$205.27","$0.00"
04/13/2023,Auto Draft Payment,"-$5,053.20","-$4,825.64","-$227.56","$0.00"
04/06/2023,Auto Draft Payment,"-$5,053.20","-$4,803.47","-$249.73","$0.00"
03/30/2023,Auto Draft Payment,"-$5,053.20","-$4,781.38","-$271.82","$0.00"
03/23/2023,Auto Draft Payment,"-$5,053.20","-$4,759.40","-$293.80","$0.00"
03/09/2023,Auto Draft Payment,"-$5,053.20","-$4,737.52","-$315.68","$0.00"
03/02/2023,Auto Draft Payment,"-$5,053.20","-$4,715.74","-$337.46","$0.00"
02/23/2023,Auto Draft Payment,"-$5,053.20","-$4,694.06","-$359.14","$0.00"
02/16/2023,Auto Draft Payment,"-$5,053.20","-$4,672.48","-$380.72","$0.00"
02/09/2023,Auto Draft Payment,"-$5,053.20","-$4,651.01","-$402.19","$0.00"
02/02/2023,Auto Draft Payment,"-$5,053.20","-$4,629.62","-$423.58","$0.00"
01/26/2023,Auto Draft Payment,"-$5,053.20","-$4,608.34","-$444.86","$0.00"
01/19/2023,Auto Draft Payment,"-$5,053.20","-$4,587.15","-$466.05","$0.00"
01/12/2023,Auto Draft Payment,"-$5,053.20","-$4,566.07","-$487.13","$0.00"
01/05/2023,Auto Draft Payment,"-$5,053.20","-$4,545.08","-$508.12","$0.00"
12/29/2022,Auto Draft Payment,"-$5,053.20","-$4,524.18","-$529.02","$0.00"
12/22/2022,Auto Draft Payment,"-$5,053.20","-$4,503.38","-$549.82","$0.00"
12/15/2022,Auto Draft Payment,"-$5,053.20","-$4,482.69","-$570.51","$0.00"
12/08/2022,Auto Draft Payment,"-$5,053.20","-$4,462.07","-$591.13","$0.00"
12/01/2022,Auto Draft Payment,"-$5,053.20","-$4,441.56","-$611.64","$0.00"
11/24/2022,Auto Draft Payment,"-$5,053.20","-$4,421.14","-$632.06","$0.00"
11/17/2022,Auto Draft Payment,"-$5,053.20","-$4,400.82","-$652.38","$0.00"
11/10/2022,Auto Draft Payment,"-$5,053.20","-$4,380.59","-$672.61","$0.00"
11/03/2022,Auto Draft Payment,"-$5,053.20","-$4,360.45","-$692.75","$0.00"
10/21/2022,Wire,"$150,000.00","$150,000.00","$0.00","$0.00"
10/21/2022,Total Loan Fee,"$11,702.40","$0.00","$11,702.40","$0.00"
