Date,Description,Amount,Principal,Fee,Other
01/08/2024,CheckWire Finance Co,"-$38,986.24","-$38,986.24","$0.00","$0.00"
01/08/2024,Total Loan Fee Waiver,"-$951.16","$0.00","-$951.16","$0.00"
01/04/2024,Auto Draft Payment,"-$3,993.73","-$3,805.18","-$188.55","$0.00"
12/28/2023,Auto Draft Payment,"-$3,993.73","-$3,788.48","-$205.25","$0.00"
12/21/2023,Auto Draft Payment,"-$3,993.73","-$3,771.87","-$221.86","$0.00"
12/14/2023,Auto Draft Payment,"-$3,993.73","-$3,755.31","-$238.42","$0.00"
12/07/2023,Auto Draft Payment,"-$3,993.73","-$3,738.85","-$254.88","$0.00"
11/30/2023,Auto Draft Payment,"-$3,993.73","-$3,722.43","-$271.30","$0.00"
11/23/2023,Auto Draft Payment,"-$3,993.73","-$3,706.11","-$287.62","$0.00"
11/16/2023,Auto Draft Payment,"-$3,993.73","-$3,689.85","-$303.88","$0.00"
11/09/2023,Auto Draft Payment,"-$3,993.73","-$3,673.67","-$320.06","$0.00"
11/02/2023,Auto Draft Payment,"-$3,993.73","-$3,657.54","-$336.19","$0.00"
10/26/2023,Auto Draft Payment,"-$3,993.73","-$3,641.50","-$352.23","$0.00"
10/19/2023,Auto Draft Payment,"-$3,993.73","-$3,625.53","-$368.20","$0.00"
10/12/2023,Auto Draft Payment,"-$3,993.73","-$3,609.62","-$384.11","$0.00"
10/05/2023,Auto Draft Payment,"-$3,993.73","-$3,593.78","-$399.95","$0.00"
09/28/2023,Auto Draft Payment,"-$3,993.73","-$3,578.02","-$415.71","$0.00"
09/21/2023,Auto Draft Payment,"-$3,993.73","-$3,562.33","-$431.40","$0.00"
09/14/2023,Auto Draft Payment,"-$3,993.73","-$3,546.69","-$447.04","$0.00"
09/07/2023,Auto Draft Payment,"-$3,993.73","-$3,531.14","-$462.59","$0.00"
08/31/2023,Auto Draft Payment,"-$3,993.73","-$3,515.64","-$478.09","$0.00"
08/24/2023,Auto Draft Payment,"-$3,993.73","-$3,500.22","-$493.51","$0.00"
08/11/2023,Payoff,"$12,074.38","$12,074.38","$0.00","$0.00"
08/11/2023,Wire,"$99,925.62","$99,925.62","$0.00","$0.00"
08/11/2023,Total Loan Fee,"$7,812.00","$0.00","$7,812.00","$0.00"
