Date,Actual
2016-08-01,0.00
2016-09-01,0.00
2016-10-01,0.00
2016-11-01,0.00
2016-12-01,0.00
2017-01-01,0.00
2017-02-01,0.00
2017-03-01,0.00
2017-04-01,0.00
2017-05-01,0.00
2017-06-01,0.00
2017-07-01,0.00
2017-08-01,0.00
2017-09-01,0.00
2017-10-01,0.00
2017-11-01,0.00
2017-12-01,0.00
2018-01-01,0.00
2018-02-01,0.00
2018-03-01,0.00
2018-04-01,0.00
2018-05-01,0.00
2018-06-01,0.00
2018-07-01,0.00
2018-08-01,0.00
2018-09-01,0.00
2018-10-01,0.00
2018-11-01,0.00
2018-12-01,0.00
2019-01-01,0.00
2019-02-01,0.00
2019-03-01,0.00
2019-04-01,0.00
2019-05-01,0.00
2019-06-01,0.00
2019-07-01,0.00
2019-08-01,0.00
2019-09-01,0.00
2019-10-01,0.00
2019-11-01,-9468.31
2019-12-01,-13664.56
2020-01-01,-11764.37
2020-02-01,-71574.53
2020-03-01,-59104.54
2020-04-01,-67146.43
2020-05-01,-69155.71
2020-06-01,-40111.84
2020-07-01,-42511.10
2020-08-01,-36952.10
2020-09-01,-22344.87
2020-10-01,-17273.75
2020-11-01,-20490.63
2020-12-01,-23033.30
2021-01-01,-21152.97
2021-02-01,-5657.50
2021-03-01,-917.95
2021-04-01,-10718.29
2021-05-01,-24487.07
2021-06-01,-7007.92
2021-07-01,-14659.31
2021-08-01,-19237.41
2021-09-01,-23145.46
2021-10-01,-24633.32
2021-11-01,-27017.85
2021-12-01,-28335.06
2022-01-01,-22673.60
2022-02-01,-20563.11
2022-03-01,-21376.57
2022-04-01,-20891.65
2022-05-01,-25420.07
2022-06-01,-21799.04
2022-07-01,-51407.82
2022-08-01,-51262.95
2022-09-01,-24114.84
2022-10-01,-22021.86
2022-11-01,-15883.97
2022-12-01,-22943.06
2023-01-01,-14427.09
2023-02-01,-17845.89
2023-03-01,-10165.00
2023-04-01,-15480.14
2023-05-01,-18534.85
2023-06-01,-11349.68
2023-07-01,-14380.75
2023-08-01,-4896.07
2023-09-01,-22833.85
2023-10-01,-43874.01
2023-11-01,-31011.49
2023-12-01,-54226.26
2024-01-01,-30018.35
2024-02-01,-47099.82
2024-03-01,-63135.14
2024-04-01,-60926.64
2024-05-01,-45112.90
2024-06-01,-54604.33
2024-07-01,-59372.70
2024-08-01,-47944.79
2024-09-01,-43344.21
2024-10-01,-18820.20
2024-11-01,-3789.26
2024-12-01,-10358.57
2025-01-01,-15384.53
2025-02-01,-17641.97
2025-03-01,-13055.33
2025-04-01,-15534.17
2025-05-01,-17661.70
2025-06-01,-9053.78
2025-07-01,-31063.30
2025-08-01,-32088.28
2025-09-01,-34488.25
2025-10-01,-29407.52
2025-11-01,-29865.10
2025-12-01,-9376.30
2026-01-01,-2990.84
