Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2020-07-29,funding,"","$80,000.00 USD",2020-07-29,completed,"$80,000.00 USD"
2020-07-29,interest,"","$8,000.00 USD",2020-07-29,completed,"$88,000.00 USD"
2020-07-30,payment,"$1,672.15 USD",-$183.94 USD,2020-07-30,completed,"$87,816.06 USD"
2020-07-31,payment,"$5,821.97 USD",-$640.41 USD,2020-08-02,completed,"$87,175.65 USD"
2020-08-01,payment,"",$0.00 USD,2020-08-02,completed,"$87,175.65 USD"
2020-08-02,payment,$117.64 USD,-$12.94 USD,2020-08-02,completed,"$87,162.71 USD"
2020-08-03,payment,"$3,768.69 USD",-$414.55 USD,2020-08-03,completed,"$86,748.16 USD"
2020-08-04,payment,"$3,995.00 USD",-$439.45 USD,2020-08-04,completed,"$86,308.71 USD"
2020-08-05,payment,"",$0.00 USD,2020-08-05,completed,"$86,308.71 USD"
2020-08-06,payment,$255.13 USD,-$28.06 USD,2020-08-06,completed,"$86,280.65 USD"
2020-08-07,payment,"$4,704.66 USD",-$517.52 USD,2020-08-09,completed,"$85,763.13 USD"
2020-08-08,payment,"$2,032.39 USD",-$223.56 USD,2020-08-09,completed,"$85,539.57 USD"
2020-08-09,payment,"$4,495.00 USD",-$494.45 USD,2020-08-09,completed,"$85,045.12 USD"
2020-08-10,payment,"",$0.00 USD,2020-08-10,completed,"$85,045.12 USD"
2020-08-11,payment,"$5,350.39 USD",-$588.54 USD,2020-08-11,completed,"$84,456.58 USD"
2020-08-12,payment,"$14,093.62 USD","-$1,550.30 USD",2020-08-12,completed,"$82,906.28 USD"
2020-08-13,payment,"$14,209.10 USD","-$1,563.01 USD",2020-08-13,completed,"$81,343.27 USD"
2020-08-14,payment,"$4,732.37 USD",-$520.56 USD,2020-08-16,completed,"$80,822.71 USD"
2020-08-15,payment,"$1,495.00 USD",-$164.45 USD,2020-08-16,completed,"$80,658.26 USD"
2020-08-16,payment,"",$0.00 USD,2020-08-16,completed,"$80,658.26 USD"
2020-08-17,payment,"",$0.00 USD,2020-08-17,completed,"$80,658.26 USD"
2020-08-18,payment,$357.67 USD,-$39.34 USD,2020-08-18,completed,"$80,618.92 USD"
2020-08-19,payment,"$4,510.52 USD",-$496.16 USD,2020-08-19,completed,"$80,122.76 USD"
2020-08-20,payment,"$1,975.26 USD",-$217.28 USD,2020-08-20,completed,"$79,905.48 USD"
2020-08-21,payment,$295.22 USD,-$32.47 USD,2020-08-23,completed,"$79,873.01 USD"
2020-08-22,payment,"$1,495.00 USD",-$164.45 USD,2020-08-23,completed,"$79,708.56 USD"
2020-08-23,payment,"$1,980.99 USD",-$217.91 USD,2020-08-23,completed,"$79,490.65 USD"
2020-08-24,payment,$31.48 USD,-$3.46 USD,2020-08-24,completed,"$79,487.19 USD"
2020-08-25,payment,"",$0.00 USD,2020-08-25,completed,"$79,487.19 USD"
2020-08-26,payment,"",$0.00 USD,2020-08-26,completed,"$79,487.19 USD"
2020-08-27,payment,"$6,533.11 USD",-$718.64 USD,2020-08-27,completed,"$78,768.55 USD"
2020-08-28,payment,$263.98 USD,-$29.04 USD,2020-08-30,completed,"$78,739.51 USD"
2020-08-29,payment,"",$0.00 USD,2020-08-30,completed,"$78,739.51 USD"
2020-08-30,payment,"",$0.00 USD,2020-08-30,completed,"$78,739.51 USD"
