Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2018-11-20,funding,"","$63,000.00 USD",2018-11-20,completed,"$63,000.00 USD"
2018-11-20,interest,"","$8,190.00 USD",2018-11-20,completed,"$71,190.00 USD"
2018-11-21,payment,"$8,254.21 USD",-$825.42 USD,2018-11-22,completed,"$70,364.58 USD"
2018-11-22,payment,"$4,397.79 USD",-$439.78 USD,2018-11-22,completed,"$69,924.80 USD"
2018-11-23,payment,"$18,076.33 USD","-$1,807.64 USD",2018-11-25,completed,"$68,117.16 USD"
2018-11-24,payment,"$8,203.13 USD",-$820.32 USD,2018-11-25,completed,"$67,296.84 USD"
2018-11-25,payment,"$7,615.13 USD",-$761.53 USD,2018-11-25,completed,"$66,535.31 USD"
2018-11-26,payment,"$14,920.86 USD","-$1,492.11 USD",2018-11-26,completed,"$65,043.20 USD"
2018-11-27,payment,"$13,195.29 USD","-$1,319.55 USD",2018-11-27,completed,"$63,723.65 USD"
2018-11-28,payment,$110.80 USD,-$11.08 USD,2018-11-28,completed,"$63,712.57 USD"
2018-11-29,payment,"$2,130.08 USD",-$213.01 USD,2018-11-29,completed,"$63,499.56 USD"
2018-11-30,payment,$45.96 USD,-$4.60 USD,2018-12-02,completed,"$63,494.96 USD"
2018-12-01,payment,"",$0.00 USD,2018-12-02,completed,"$63,494.96 USD"
2018-12-02,payment,"",$0.00 USD,2018-12-02,completed,"$63,494.96 USD"
2018-12-03,payment,"",$0.00 USD,2018-12-03,completed,"$63,494.96 USD"
2018-12-04,payment,"",$0.00 USD,2018-12-04,completed,"$63,494.96 USD"
2018-12-05,payment,"$2,828.76 USD",-$282.88 USD,2018-12-05,completed,"$63,212.08 USD"
2018-12-06,payment,"$2,732.32 USD",-$273.23 USD,2018-12-06,completed,"$62,938.85 USD"
2018-12-07,payment,"$2,807.95 USD",-$280.80 USD,2018-12-09,completed,"$62,658.05 USD"
2018-12-08,payment,"",$0.00 USD,2018-12-09,completed,"$62,658.05 USD"
2018-12-09,payment,"",$0.00 USD,2018-12-09,completed,"$62,658.05 USD"
2018-12-10,payment,$66.25 USD,-$6.63 USD,2018-12-10,completed,"$62,651.42 USD"
2018-12-11,payment,"",$0.00 USD,2018-12-11,completed,"$62,651.42 USD"
2018-12-12,payment,"",$0.00 USD,2018-12-12,completed,"$62,651.42 USD"
2018-12-13,payment,$167.76 USD,-$16.78 USD,2018-12-13,completed,"$62,634.64 USD"
2018-12-14,payment,$112.77 USD,-$11.28 USD,2018-12-16,completed,"$62,623.36 USD"
2018-12-15,payment,"",$0.00 USD,2018-12-16,completed,"$62,623.36 USD"
2018-12-16,payment,"",$0.00 USD,2018-12-16,completed,"$62,623.36 USD"
2018-12-17,payment,"$1,995.00 USD",-$199.50 USD,2018-12-17,completed,"$62,423.86 USD"
2018-12-18,payment,"$2,026.19 USD",-$202.62 USD,2018-12-18,completed,"$62,221.24 USD"
2018-12-19,payment,"$5,785.50 USD",-$578.55 USD,2018-12-19,completed,"$61,642.69 USD"
2018-12-20,payment,"",$0.00 USD,2018-12-20,completed,"$61,642.69 USD"
2018-12-21,payment,"$9,775.50 USD",-$977.55 USD,2018-12-23,completed,"$60,665.14 USD"
2018-12-22,payment,"$1,995.00 USD",-$199.50 USD,2018-12-23,completed,"$60,465.64 USD"
2018-12-23,payment,"$2,025.67 USD",-$202.57 USD,2018-12-23,completed,"$60,263.07 USD"
2018-12-24,payment,"$4,400.68 USD",-$440.07 USD,2018-12-25,completed,"$59,823.00 USD"
