Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2023-06-07,funding,"","$60,000.00 USD",2023-06-07,completed,"$60,000.00 USD"
2023-06-07,interest,"","$3,600.00 USD",2023-06-07,completed,"$63,600.00 USD"
2023-06-08,payment,"",$0.00 USD,2023-06-08,completed,"$63,600.00 USD"
2023-06-09,payment,"$2,995.00 USD",-$539.10 USD,2023-06-11,completed,"$63,060.90 USD"
2023-06-10,payment,"",$0.00 USD,2023-06-12,completed,"$63,060.90 USD"
2023-06-11,payment,"",$0.00 USD,2023-06-12,completed,"$63,060.90 USD"
2023-06-12,payment,"$3,995.00 USD",-$719.10 USD,2023-06-12,completed,"$62,341.80 USD"
2023-06-13,payment,"$1,640.34 USD",-$295.26 USD,2023-06-13,completed,"$62,046.54 USD"
2023-06-14,payment,"$3,208.19 USD",-$577.47 USD,2023-06-14,completed,"$61,469.07 USD"
2023-06-15,payment,"",$0.00 USD,2023-06-15,completed,"$61,469.07 USD"
2023-06-16,payment,$97.00 USD,-$17.46 USD,2023-06-19,completed,"$61,451.61 USD"
2023-06-17,payment,"",$0.00 USD,2023-06-20,completed,"$61,451.61 USD"
2023-06-18,payment,"",$0.00 USD,2023-06-20,completed,"$61,451.61 USD"
2023-06-19,payment,"",$0.00 USD,2023-06-20,completed,"$61,451.61 USD"
2023-06-20,payment,"$1,495.00 USD",-$269.10 USD,2023-06-20,completed,"$61,182.51 USD"
2023-06-21,payment,"$1,395.00 USD",-$251.10 USD,2023-06-21,completed,"$60,931.41 USD"
2023-06-22,payment,"$1,064.42 USD",-$191.60 USD,2023-06-22,completed,"$60,739.81 USD"
2023-06-23,payment,"$6,882.60 USD","-$1,238.87 USD",2023-06-25,completed,"$59,500.94 USD"
2023-06-24,payment,"",$0.00 USD,2023-06-26,completed,"$59,500.94 USD"
2023-06-25,payment,"",$0.00 USD,2023-06-26,completed,"$59,500.94 USD"
2023-06-26,payment,"$4,867.63 USD",-$876.17 USD,2023-06-26,completed,"$58,624.77 USD"
2023-06-27,payment,"$6,990.00 USD","-$1,258.20 USD",2023-06-27,completed,"$57,366.57 USD"
2023-06-28,payment,"$4,461.61 USD",-$803.09 USD,2023-06-28,completed,"$56,563.48 USD"
2023-06-29,payment,$131.00 USD,-$23.58 USD,2023-06-29,completed,"$56,539.90 USD"
2023-06-30,payment,"$12,980.00 USD","-$2,336.40 USD",2023-07-02,completed,"$54,203.50 USD"
2023-07-01,payment,"",$0.00 USD,2023-07-04,completed,"$54,203.50 USD"
2023-07-02,payment,"",$0.00 USD,2023-07-04,completed,"$54,203.50 USD"
2023-07-03,payment,$19.00 USD,-$3.42 USD,2023-07-04,completed,"$54,200.08 USD"
2023-07-04,payment,$140.00 USD,-$25.20 USD,2023-07-05,completed,"$54,174.88 USD"
2023-07-05,payment,"",$0.00 USD,2023-07-05,completed,"$54,174.88 USD"
2023-07-06,payment,"",$0.00 USD,2023-07-06,completed,"$54,174.88 USD"
2023-07-07,payment,$257.43 USD,-$46.34 USD,2023-07-09,completed,"$54,128.54 USD"
2023-07-08,payment,"",$0.00 USD,2023-07-10,completed,"$54,128.54 USD"
2023-07-09,payment,"",$0.00 USD,2023-07-10,completed,"$54,128.54 USD"
2023-07-10,payment,"",$0.00 USD,2023-07-10,completed,"$54,128.54 USD"
2023-07-11,payment,"$6,837.90 USD","-$1,230.82 USD",2023-07-11,completed,"$52,897.72 USD"
2023-07-12,payment,"$7,485.00 USD","-$1,347.30 USD",2023-07-12,completed,"$51,550.42 USD"
2023-07-13,payment,"",$0.00 USD,2023-07-13,completed,"$51,550.42 USD"
2023-07-14,payment,$413.09 USD,-$74.36 USD,2023-07-16,completed,"$51,476.06 USD"
2023-07-15,payment,"",$0.00 USD,2023-07-17,completed,"$51,476.06 USD"
2023-07-16,payment,"$3,155.07 USD",-$567.91 USD,2023-07-17,completed,"$50,908.15 USD"
2023-07-17,payment,"",$0.00 USD,2023-07-17,completed,"$50,908.15 USD"
2023-07-18,payment,"$2,736.01 USD",-$492.48 USD,2023-07-18,completed,"$50,415.67 USD"
2023-07-19,payment,"$1,861.16 USD",-$335.01 USD,2023-07-19,completed,"$50,080.66 USD"
2023-07-20,payment,"$5,360.99 USD",-$964.98 USD,2023-07-20,completed,"$49,115.68 USD"
