Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2020-01-02,funding,"","$99,000.00 USD",2020-01-02,completed,"$99,000.00 USD"
2020-01-02,interest,"","$12,870.00 USD",2020-01-02,completed,"$111,870.00 USD"
2020-01-03,payment,"$3,995.00 USD",-$679.15 USD,2020-01-05,completed,"$111,190.85 USD"
2020-01-04,payment,"",$0.00 USD,2020-01-05,completed,"$111,190.85 USD"
2020-01-05,payment,"",$0.00 USD,2020-01-05,completed,"$111,190.85 USD"
2020-01-06,payment,"$7,081.38 USD","-$1,203.84 USD",2020-01-06,completed,"$109,987.01 USD"
2020-01-07,payment,"$16,309.19 USD","-$2,772.56 USD",2020-01-07,completed,"$107,214.45 USD"
2020-01-08,payment,$55.96 USD,-$9.51 USD,2020-01-08,completed,"$107,204.94 USD"
2020-01-09,payment,"$4,660.50 USD",-$792.29 USD,2020-01-09,completed,"$106,412.65 USD"
2020-01-10,payment,"$2,765.15 USD",-$470.08 USD,2020-01-12,completed,"$105,942.57 USD"
2020-01-11,payment,"",$0.00 USD,2020-01-12,completed,"$105,942.57 USD"
2020-01-12,payment,$432.84 USD,-$73.58 USD,2020-01-12,completed,"$105,868.99 USD"
2020-01-13,payment,"$1,771.89 USD",-$301.22 USD,2020-01-13,completed,"$105,567.77 USD"
2020-01-14,payment,"$2,138.05 USD",-$363.47 USD,2020-01-14,completed,"$105,204.30 USD"
2020-01-15,payment,"$1,795.00 USD",-$305.15 USD,2020-01-15,completed,"$104,899.15 USD"
2020-01-16,payment,"$3,995.00 USD",-$679.15 USD,2020-01-16,completed,"$104,220.00 USD"
2020-01-17,payment,"$2,606.52 USD",-$443.11 USD,2020-01-20,completed,"$103,776.89 USD"
2020-01-18,payment,"",$0.00 USD,2020-01-20,completed,"$103,776.89 USD"
2020-01-19,payment,$60.57 USD,-$10.30 USD,2020-01-20,completed,"$103,766.59 USD"
2020-01-20,payment,"$3,885.50 USD",-$660.54 USD,2020-01-20,completed,"$103,106.05 USD"
2020-01-21,payment,"$4,547.20 USD",-$773.03 USD,2020-01-21,completed,"$102,333.02 USD"
2020-01-21,payment,"",-$773.03 USD,2020-01-21,completed,"$101,559.99 USD"
2020-01-22,payment,"$11,463.65 USD","-$1,948.82 USD",2020-01-22,completed,"$99,611.17 USD"
2020-01-23,payment,"$10,144.22 USD","-$1,724.51 USD",2020-01-23,completed,"$97,886.66 USD"
2020-01-24,refund,"",$773.03 USD,2020-01-23,completed,"$98,659.69 USD"
2020-01-24,payment,"$6,252.78 USD","-$1,062.97 USD",2020-01-26,completed,"$97,596.72 USD"
2020-01-25,payment,"$2,475.57 USD",-$420.85 USD,2020-01-26,completed,"$97,175.87 USD"
2020-01-26,payment,"",$0.00 USD,2020-01-26,completed,"$97,175.87 USD"
2020-01-27,payment,"$2,506.03 USD",-$426.03 USD,2020-01-27,completed,"$96,749.84 USD"
2020-01-28,payment,"$7,869.12 USD","-$1,337.75 USD",2020-01-28,completed,"$95,412.09 USD"
2020-01-29,payment,"$3,195.00 USD",-$543.15 USD,2020-01-29,completed,"$94,868.94 USD"
2020-01-30,payment,"$2,012.59 USD",-$342.14 USD,2020-01-30,completed,"$94,526.80 USD"
2020-01-31,payment,"",$0.00 USD,2020-02-02,completed,"$94,526.80 USD"
2020-02-01,payment,$169.67 USD,-$28.84 USD,2020-02-02,completed,"$94,497.96 USD"
2020-02-02,payment,$9.82 USD,-$1.67 USD,2020-02-02,completed,"$94,496.29 USD"
2020-02-03,payment,"$2,702.35 USD",-$459.40 USD,2020-02-03,completed,"$94,036.89 USD"
2020-02-04,payment,"$3,595.50 USD",-$611.24 USD,2020-02-04,completed,"$93,425.65 USD"
2020-02-05,payment,"$3,789.42 USD",-$644.21 USD,2020-02-05,completed,"$92,781.44 USD"
2020-02-06,payment,"$2,465.77 USD",-$419.19 USD,2020-02-06,completed,"$92,362.25 USD"
2020-02-07,payment,$110.26 USD,-$18.74 USD,2020-02-09,completed,"$92,343.51 USD"
2020-02-08,payment,$153.22 USD,-$26.05 USD,2020-02-09,completed,"$92,317.46 USD"
2020-02-09,payment,"$5,094.87 USD",-$866.12 USD,2020-02-09,completed,"$91,451.34 USD"
2020-02-10,payment,$9.40 USD,-$1.60 USD,2020-02-10,completed,"$91,449.74 USD"
2020-02-11,payment,"$17,722.79 USD","-$3,012.89 USD",2020-02-11,completed,"$88,436.85 USD"
2020-02-12,payment,"$8,026.42 USD","-$1,364.49 USD",2020-02-12,completed,"$87,072.36 USD"
2020-02-13,payment,"$2,570.02 USD",-$436.90 USD,2020-02-13,completed,"$86,635.46 USD"
2020-02-14,payment,"$6,675.50 USD","-$1,134.84 USD",2020-02-17,completed,"$85,500.62 USD"
2020-02-15,payment,"$5,531.81 USD",-$940.41 USD,2020-02-17,completed,"$84,560.21 USD"
2020-02-16,payment,"$6,148.75 USD","-$1,045.29 USD",2020-02-17,completed,"$83,514.92 USD"
2020-02-17,payment,"$2,595.00 USD",-$441.15 USD,2020-02-17,completed,"$83,073.77 USD"
2020-02-18,payment,"$1,874.92 USD",-$318.74 USD,2020-02-18,completed,"$82,755.03 USD"
2020-02-19,payment,"",$0.00 USD,2020-02-19,completed,"$82,755.03 USD"
2020-02-20,payment,"$8,968.77 USD","-$1,524.68 USD",2020-02-20,completed,"$81,230.35 USD"
2020-02-21,payment,"$9,229.66 USD","-$1,569.05 USD",2020-02-23,completed,"$79,661.30 USD"
2020-02-22,payment,"",$0.00 USD,2020-02-23,completed,"$79,661.30 USD"
2020-02-23,payment,"",$0.00 USD,2020-02-23,completed,"$79,661.30 USD"
2020-02-24,payment,"$12,181.43 USD","-$2,070.84 USD",2020-02-24,completed,"$77,590.46 USD"
2020-02-25,payment,"$8,487.57 USD","-$1,442.89 USD",2020-02-25,completed,"$76,147.57 USD"
2020-02-26,payment,"$4,397.71 USD",-$747.61 USD,2020-02-26,completed,"$75,399.96 USD"
2020-02-27,payment,"$2,969.56 USD",-$504.83 USD,2020-02-27,completed,"$74,895.13 USD"
2020-02-28,payment,"$7,801.24 USD","-$1,326.22 USD",2020-03-01,completed,"$73,568.91 USD"
2020-02-29,payment,"",$0.00 USD,2020-03-01,completed,"$73,568.91 USD"
2020-03-01,payment,"$6,246.36 USD","-$1,061.88 USD",2020-03-01,completed,"$72,507.03 USD"
2020-03-02,payment,"$7,798.22 USD","-$1,325.70 USD",2020-03-02,completed,"$71,181.33 USD"
2020-03-03,payment,"$6,559.82 USD","-$1,115.17 USD",2020-03-03,completed,"$70,066.16 USD"
2020-03-04,payment,"$4,564.98 USD",-$776.05 USD,2020-03-04,completed,"$69,290.11 USD"
2020-03-05,payment,"$9,599.42 USD","-$1,631.90 USD",2020-03-05,completed,"$67,658.21 USD"
2020-03-06,payment,"$7,014.61 USD","-$1,192.48 USD",2020-03-08,completed,"$66,465.73 USD"
2020-03-07,payment,"$2,095.00 USD",-$356.15 USD,2020-03-08,completed,"$66,109.58 USD"
2020-03-08,payment,"",$0.00 USD,2020-03-08,completed,"$66,109.58 USD"
2020-03-09,payment,"$5,961.36 USD","-$1,013.43 USD",2020-03-09,completed,"$65,096.15 USD"
2020-03-10,payment,"$21,660.19 USD","-$3,682.24 USD",2020-03-10,completed,"$61,413.91 USD"
2020-03-11,payment,"$15,919.53 USD","-$2,706.32 USD",2020-03-11,completed,"$58,707.59 USD"
