Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2024-05-15,funding,"","$69,000.00 USD",2024-05-15,completed,"$69,000.00 USD"
2024-05-15,interest,"","$5,520.00 USD",2024-05-15,completed,"$74,520.00 USD"
2024-06-03,payment,"$4,058.79 USD",-$689.99 USD,2024-06-04,completed,"$73,830.01 USD"
2024-06-04,payment,"$8,990.00 USD","-$1,528.30 USD",2024-06-05,completed,"$72,301.71 USD"
2024-06-05,payment,$434.97 USD,-$73.94 USD,2024-06-06,completed,"$72,227.77 USD"
2024-06-06,payment,$15.00 USD,-$2.55 USD,2024-06-09,completed,"$72,225.22 USD"
2024-06-07,payment,"$2,995.00 USD",-$509.15 USD,2024-06-10,completed,"$71,716.07 USD"
2024-06-08,payment,"",$0.00 USD,2024-06-11,completed,"$71,716.07 USD"
2024-06-09,payment,$56.62 USD,-$9.63 USD,2024-06-11,completed,"$71,706.44 USD"
2024-06-10,payment,$47.00 USD,-$7.99 USD,2024-06-11,completed,"$71,698.45 USD"
2024-06-11,payment,"$8,613.71 USD","-$1,464.33 USD",2024-06-12,completed,"$70,234.12 USD"
2024-06-12,payment,"$2,995.00 USD",-$509.15 USD,2024-06-13,completed,"$69,724.97 USD"
2024-06-13,payment,"$2,947.66 USD",-$501.10 USD,2024-06-16,completed,"$69,223.87 USD"
2024-06-14,payment,"$10,485.00 USD","-$1,782.45 USD",2024-06-17,completed,"$67,441.42 USD"
2024-06-15,payment,"",$0.00 USD,2024-06-19,completed,"$67,441.42 USD"
2024-06-16,payment,"",$0.00 USD,2024-06-19,completed,"$67,441.42 USD"
2024-06-17,payment,"$4,562.86 USD",-$775.69 USD,2024-06-19,completed,"$66,665.73 USD"
2024-06-18,payment,"",$0.00 USD,2024-06-20,completed,"$66,665.73 USD"
2024-06-19,payment,"",$0.00 USD,2024-06-23,completed,"$66,665.73 USD"
2024-06-20,payment,"$2,695.50 USD",-$458.24 USD,2024-06-23,completed,"$66,207.49 USD"
2024-06-21,payment,$282.00 USD,-$47.94 USD,2024-06-24,completed,"$66,159.55 USD"
2024-06-22,payment,$71.20 USD,-$12.10 USD,2024-06-25,completed,"$66,147.45 USD"
2024-06-23,payment,"",$0.00 USD,2024-06-25,completed,"$66,147.45 USD"
2024-06-24,payment,$282.00 USD,-$47.94 USD,2024-06-25,completed,"$66,099.51 USD"
2024-06-25,payment,"$4,252.92 USD",-$723.00 USD,2024-06-26,completed,"$65,376.51 USD"
2024-06-26,payment,$139.88 USD,-$23.78 USD,2024-06-27,completed,"$65,352.73 USD"
2024-06-27,payment,$315.00 USD,-$53.55 USD,2024-06-30,completed,"$65,299.18 USD"
