Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2023-01-06,funding,"","$40,000.00 USD",2023-01-06,completed,"$40,000.00 USD"
2023-01-06,interest,"","$3,200.00 USD",2023-01-06,completed,"$43,200.00 USD"
2023-03-15,payment,"$3,995.00 USD",-$599.25 USD,2023-03-15,completed,"$42,600.75 USD"
2023-03-18,payment,"",$0.00 USD,2023-03-20,completed,"$42,600.75 USD"
2023-03-19,payment,"$3,066.65 USD",-$460.00 USD,2023-03-20,completed,"$42,140.75 USD"
2023-03-20,payment,$262.00 USD,-$39.30 USD,2023-03-20,completed,"$42,101.45 USD"
2023-03-21,payment,"$7,169.03 USD","-$1,075.35 USD",2023-03-21,completed,"$41,026.10 USD"
2023-03-22,payment,"",$0.00 USD,2023-03-22,completed,"$41,026.10 USD"
2023-03-23,payment,"$7,399.49 USD","-$1,109.92 USD",2023-03-23,completed,"$39,916.18 USD"
2023-03-24,payment,"$3,964.08 USD",-$594.61 USD,2023-03-26,completed,"$39,321.57 USD"
2023-03-25,payment,"$4,485.00 USD",-$672.75 USD,2023-03-27,completed,"$38,648.82 USD"
2023-03-26,payment,"$3,022.00 USD",-$453.30 USD,2023-03-27,completed,"$38,195.52 USD"
2023-03-27,payment,$13.00 USD,-$1.95 USD,2023-03-27,completed,"$38,193.57 USD"
2023-03-28,payment,"",$0.00 USD,2023-03-28,completed,"$38,193.57 USD"
2023-03-29,payment,"$40,527.50 USD","-$6,079.13 USD",2023-03-29,completed,"$32,114.44 USD"
2023-03-30,payment,"$3,133.40 USD",-$470.01 USD,2023-03-30,completed,"$31,644.43 USD"
2023-03-31,payment,"$8,304.35 USD","-$1,245.65 USD",2023-04-02,completed,"$30,398.78 USD"
2023-04-01,payment,$9.50 USD,-$1.43 USD,2023-04-03,completed,"$30,397.35 USD"
2023-04-02,payment,"$1,752.20 USD",-$262.83 USD,2023-04-03,completed,"$30,134.52 USD"
2023-04-03,payment,"$4,450.50 USD",-$667.58 USD,2023-04-03,completed,"$29,466.94 USD"
2023-04-04,payment,"$4,245.50 USD",-$636.83 USD,2023-04-04,completed,"$28,830.11 USD"
2023-04-05,payment,"",$0.00 USD,2023-04-05,completed,"$28,830.11 USD"
2023-04-06,payment,"$9,361.50 USD","-$1,404.23 USD",2023-04-06,completed,"$27,425.88 USD"
2023-04-07,payment,"$2,995.00 USD",-$449.25 USD,2023-04-09,completed,"$26,976.63 USD"
2023-04-08,payment,"$2,957.00 USD",-$443.55 USD,2023-04-10,completed,"$26,533.08 USD"
2023-04-09,payment,"",$0.00 USD,2023-04-10,completed,"$26,533.08 USD"
2023-04-10,payment,"",$0.00 USD,2023-04-10,completed,"$26,533.08 USD"
2023-04-11,payment,"",$0.00 USD,2023-04-11,completed,"$26,533.08 USD"
2023-04-12,payment,"$3,913.17 USD",-$586.98 USD,2023-04-12,completed,"$25,946.10 USD"
2023-04-13,payment,"$3,092.06 USD",-$463.81 USD,2023-04-13,completed,"$25,482.29 USD"
2023-04-14,payment,$738.79 USD,-$110.82 USD,2023-04-16,completed,"$25,371.47 USD"
2023-04-15,payment,"$1,901.00 USD",-$285.15 USD,2023-04-17,completed,"$25,086.32 USD"
2023-04-16,payment,"",$0.00 USD,2023-04-17,completed,"$25,086.32 USD"
2023-04-17,payment,"$7,706.48 USD","-$1,155.97 USD",2023-04-17,completed,"$23,930.35 USD"
2023-04-18,payment,"$1,395.00 USD",-$209.25 USD,2023-04-18,completed,"$23,721.10 USD"
2023-04-19,payment,"$3,104.70 USD",-$465.71 USD,2023-04-19,completed,"$23,255.39 USD"
2023-04-20,payment,$81.06 USD,-$12.16 USD,2023-04-20,completed,"$23,243.23 USD"
2023-04-21,payment,"$19,652.00 USD","-$2,947.80 USD",2023-04-23,completed,"$20,295.43 USD"
2023-04-22,payment,"$7,861.50 USD","-$1,179.23 USD",2023-04-24,completed,"$19,116.20 USD"
2023-04-23,payment,$78.22 USD,-$11.73 USD,2023-04-24,completed,"$19,104.47 USD"
2023-04-24,payment,"$4,289.31 USD",-$643.40 USD,2023-04-24,completed,"$18,461.07 USD"
2023-04-25,payment,"$2,812.50 USD",-$421.88 USD,2023-04-25,completed,"$18,039.19 USD"
2023-04-26,payment,$50.00 USD,-$7.50 USD,2023-04-26,completed,"$18,031.69 USD"
2023-04-27,payment,$133.82 USD,-$20.07 USD,2023-04-27,completed,"$18,011.62 USD"
2023-04-28,payment,$67.00 USD,-$10.05 USD,2023-04-30,completed,"$18,001.57 USD"
2023-04-29,payment,"",$0.00 USD,2023-05-01,completed,"$18,001.57 USD"
2023-04-30,payment,$47.28 USD,-$7.09 USD,2023-05-01,completed,"$17,994.48 USD"
2023-05-01,payment,"$10,137.35 USD","-$1,520.60 USD",2023-05-01,completed,"$16,473.88 USD"
2023-05-02,payment,"",$0.00 USD,2023-05-02,completed,"$16,473.88 USD"
2023-05-03,payment,"$2,752.50 USD",-$412.88 USD,2023-05-03,completed,"$16,061.00 USD"
2023-05-04,payment,"$8,110.50 USD","-$1,216.58 USD",2023-05-04,completed,"$14,844.42 USD"
2023-05-05,payment,"$8,088.00 USD","-$1,213.20 USD",2023-05-07,completed,"$13,631.22 USD"
2023-05-06,payment,"$4,055.94 USD",-$608.39 USD,2023-05-08,completed,"$13,022.83 USD"
2023-05-07,payment,"",$0.00 USD,2023-05-08,completed,"$13,022.83 USD"
2023-05-08,payment,"$2,740.50 USD",-$411.08 USD,2023-05-08,completed,"$12,611.75 USD"
2023-05-09,payment,"$10,759.20 USD","-$1,613.88 USD",2023-05-09,completed,"$10,997.87 USD"
2023-05-10,payment,"$5,361.36 USD",-$804.20 USD,2023-05-10,completed,"$10,193.67 USD"
2023-05-11,payment,"$2,995.00 USD",-$449.25 USD,2023-05-11,completed,"$9,744.42 USD"
2023-05-12,payment,"$7,908.00 USD","-$1,186.20 USD",2023-05-14,completed,"$8,558.22 USD"
2023-05-13,payment,"$1,479.25 USD",-$221.89 USD,2023-05-15,completed,"$8,336.33 USD"
2023-05-14,payment,"$3,995.00 USD",-$599.25 USD,2023-05-15,completed,"$7,737.08 USD"
2023-05-15,payment,"$1,416.23 USD",-$212.43 USD,2023-05-15,completed,"$7,524.65 USD"
