Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2025-06-13,funding,"","$80,000.00 USD",2025-06-13,pending,"$80,000.00 USD"
2025-06-15,interest,"",$800.00 USD,2025-06-15,completed,"$80,800.00 USD"
2025-06-20,payment,"",$0.00 USD,2025-06-23,completed,"$80,800.00 USD"
2025-06-21,payment,"",$0.00 USD,2025-06-24,completed,"$80,800.00 USD"
2025-06-22,payment,"",$0.00 USD,2025-06-24,completed,"$80,800.00 USD"
2025-06-23,payment,$292.86 USD,-$67.36 USD,2025-06-24,completed,"$80,732.64 USD"
2025-06-24,payment,"$3,995.00 USD",-$918.85 USD,2025-06-25,completed,"$79,813.79 USD"
2025-06-25,payment,"",$0.00 USD,2025-06-26,completed,"$79,813.79 USD"
2025-06-26,payment,"",$0.00 USD,2025-06-29,completed,"$79,813.79 USD"
2025-06-27,payment,"",$0.00 USD,2025-06-30,completed,"$79,813.79 USD"
2025-06-28,payment,"",$0.00 USD,2025-07-01,completed,"$79,813.79 USD"
2025-06-29,payment,"",$0.00 USD,2025-07-01,completed,"$79,813.79 USD"
2025-06-30,payment,"$3,891.02 USD",-$894.93 USD,2025-07-01,completed,"$78,918.86 USD"
2025-07-01,payment,$79.00 USD,-$18.17 USD,2025-07-02,completed,"$78,900.69 USD"
2025-07-02,payment,"",$0.00 USD,2025-07-06,completed,"$78,900.69 USD"
2025-07-03,payment,"$13,085.50 USD","-$3,009.67 USD",2025-07-07,completed,"$75,891.02 USD"
2025-07-04,payment,"",$0.00 USD,2025-07-08,completed,"$75,891.02 USD"
2025-07-05,payment,"",$0.00 USD,2025-07-08,completed,"$75,891.02 USD"
2025-07-06,payment,"",$0.00 USD,2025-07-08,completed,"$75,891.02 USD"
2025-07-07,payment,$165.18 USD,-$37.99 USD,2025-07-08,completed,"$75,853.03 USD"
2025-07-08,payment,"$6,588.00 USD","-$1,515.24 USD",2025-07-09,completed,"$74,337.79 USD"
2025-07-09,payment,"",$0.00 USD,2025-07-10,completed,"$74,337.79 USD"
2025-07-10,payment,"$3,543.00 USD",-$814.89 USD,2025-07-13,completed,"$73,522.90 USD"
2025-07-11,payment,"",$0.00 USD,2025-07-14,completed,"$73,522.90 USD"
2025-07-12,payment,$48.78 USD,-$11.22 USD,2025-07-15,completed,"$73,511.68 USD"
2025-07-13,payment,"$2,420.12 USD",-$556.63 USD,2025-07-15,completed,"$72,955.05 USD"
2025-07-14,payment,"",$0.00 USD,2025-07-15,completed,"$72,955.05 USD"
2025-07-15,interest,"",$800.00 USD,2025-07-15,completed,"$73,755.05 USD"
2025-07-15,payment,"",$0.00 USD,2025-07-16,completed,"$73,755.05 USD"
2025-07-16,payment,"$1,180.80 USD",-$271.58 USD,2025-07-17,completed,"$73,483.47 USD"
